开课日期,课程,期号,城市,导师,上课人数,上课企业数
2021/3/27,业务管理者养成,11,上海,汤君健,67,39
2021/4/10,动态股权设计,99,上海,何德文,42,38
2021/4/10,流程型组织,56,上海,蒋伟良,95,38
2021/4/21,产品开发管理IPD,11,上海,刘红革,67,30
2021/4/23,极简项目管理,21,上海,郭嘉,47,30
2021/5/8,品类战略,2,上海,李亮,35,27
2021/5/8,铁三角营销体系,1,上海,王占刚,50,28
2021/5/11,OGSM业务规划与执行,12,上海,袁园,60,36
2021/5/15,品牌体验设计,32,上海,汪志谦,58,38
2021/5/15,业务管理者养成,15,上海,汤君健,68,41
2021/5/18,科学分钱,46,上海,卞志汉,53,34
2021/5/22,做实企业文化,59,上海,欧德张,59,47
2021/5/29,供应链再造,32,上海,姜宏锋,51,30
2021/5/29,流程型组织,59,上海,蒋伟良,91,43
2021/6/26,B2B销售业绩管理,3,上海,崔建中,65,31
2021/6/30,业务领先战略,11,上海,汪瀛,52,36
2021/7/3,B2B策略销售,9,上海,崔建中,56,28
2021/7/6,管理者的自我管理,19,上海,欧阳开贵&邓良,58,33
2021/7/8,OGSM业务规划与执行,15,上海,袁园,66,28
2021/7/10,科学分钱,48,上海,卞志汉,60,39
2021/7/17,产品开发管理IPD,13,上海,刘红革,46,12
2021/7/29,品类战略,3,上海,李亮,33,24
2021/7/31,铁三角营销体系,3,上海,王占刚,39,26
2021/8/21,业务管理者养成,18,上海,汤君健,58,44
2021/8/28,科学分钱,50,上海,卞志汉,58,38
2021/9/2,品牌增长与全域营销,1,上海,陈陶琦,52,31
2021/9/4,流程型组织,61,上海,蒋伟良,89,48
2021/9/4,做实企业文化,62,上海,欧德张,30,22
2021/9/11,OGSM业务规划与执行,19,上海,袁园,46,26
2021/9/23,事业战略,7,上海,邓良,62,35
2021/9/25,品牌体验设计,35,上海,汪志谦,55,35
2021/10/9,OKR实战工作坊,45,上海,姚琼,57,21
2021/10/15,业务领先战略,13,上海,汪瀛,63,40
2021/10/16,B2B销售业绩管理,5,上海,崔建中,63,38
2021/10/20,品牌增长与全域营销,2,上海,陈陶琦,28,22
2021/10/23,人才战略,1,上海,冉涛,61,45
2021/10/28,增长黑客,5,上海,曲卉,41,29
2021/10/30,产品开发管理IPD,16,上海,刘红革,66,30
2021/11/6,科学分钱,53,上海,卞志汉,66,34
2021/11/13,流程型组织,63,上海,蒋伟良,78,48
